region,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,is_price_outlier,price_bin,distance_to_region_center,region_encoded,host_experience_level,price_per_review
Santa Clara County,783493669843230258,#2| Room w/ Half Bath| 10 min Walk to CalTrain,426122897,Yanhua,Mountain View,37.39568,-122.08282,Private room,89.0,2,22,2024-12-06,0.84,12,75,10,,False,Low,18.540236523187595,2,Superhost,3.869565217391304
Santa Clara County,785449978972723364,"Chill, Relax and Peaceful Home",78416636,Rosario,San Jose,37.3070529,-121.8338205,Private room,50.0,7,2,2025-01-13,0.3,2,283,2,,False,Low,5.795329886170478,2,Intermediate,16.666666666666668
Santa Clara County,785665753308723148,Cozy 2b2b Home in Central San Jose,492065379,Alpha,Unincorporated Areas,37.3211,-121.92436,Entire home/apt,143.0,2,26,2025-03-02,0.96,1,93,11,,False,Mid,3.870343335972213,2,Newbie,5.296296296296297
Santa Clara County,786197092996942693,"Private-1BR/1BA Studio in  San Jose Dwt,ValleyFare",54813533,Vishwas,Unincorporated Areas,37.32038958801699,-121.93483631681248,Entire home/apt,87.0,1,31,2025-02-22,1.3,1,169,16,,False,Low,4.734020219345818,2,Newbie,2.71875
Santa Clara County,786415744410926726,Los Gatos Cozy 2BD 2BA Private Guesthouse,412994221,Lucy,Los Gatos,37.2432301,-121.9516883,Entire home/apt,203.0,2,91,2025-01-20,3.36,2,305,39,,False,Mid,12.029569330617774,2,Intermediate,2.2065217391304346
Santa Clara County,786976712371781285,304 - Charming Studio Apt. in downtown San Jose!,123481831,Ryan,San Jose,37.3351195,-121.8932945,Entire home/apt,154.0,29,2,2024-05-22,0.12,28,231,1,,False,Mid,0.7078724309584298,2,Superhost,51.333333333333336
Santa Clara County,787164804147985015,Cozy Bedroom in large house,42956001,John,Cupertino,37.32065895218884,-122.07360810468582,Private room,52.0,30,8,2025-02-05,0.32,2,95,5,,False,Low,16.714162883557176,2,Intermediate,5.777777777777778
Santa Clara County,787835982819432653,1500sqft JTown Remodeled Whole House,62789467,Jennifer,San Jose,37.3465560527237,-121.89704946754524,Entire home/apt,228.0,4,41,2025-02-22,1.68,3,103,20,,False,High,1.32941560480151,2,Intermediate,5.428571428571429
Santa Clara County,787908063112563894,"Serene Private Guest Suite w/ Wi-Fi, TV, & Parking",219594744,Andaleeb,San Jose,37.27843,-121.74486,Entire home/apt,143.0,2,23,2025-02-04,0.91,2,309,10,,False,Mid,14.185357888703928,2,Intermediate,5.958333333333333
Santa Clara County,789236404771476056,Studio Guesthouse - Downtown San Jose,18523209,Christie,San Jose,37.3285433,-121.8979275,Entire home/apt,85.0,20,9,2024-10-31,0.39,3,226,3,,False,Low,1.4867562916038124,2,Intermediate,8.5
Santa Clara County,790168960452117586,A Sunny Home in San Jose 2b/2b,391701095,Alpha,Unincorporated Areas,37.32138010234042,-121.92430102159987,Entire home/apt,156.0,2,51,2025-03-08,1.89,7,71,18,,False,Mid,3.85061711371183,2,Experienced,3.0
Santa Clara County,790551707768413772,Fully Remodeled Home AC-WiFi-Stanford-Go0gle,492856317,Nancy,Palo Alto,37.41769094146173,-122.1177801804011,Entire home/apt,370.0,3,77,2025-02-28,2.98,1,64,23,,False,High,22.3196009460504,2,Newbie,4.743589743589744
Santa Clara County,791308936011268208,1 Private Room Blossom Valley Area near Oakridge,402235960,Cyrus,San Jose,37.24599588743841,-121.86166673226786,Private room,85.0,2,5,2024-10-31,0.19,2,348,2,,False,Low,10.46361385942642,2,Intermediate,14.166666666666666
Santa Clara County,791364167558767680,Cozy Comfy Private room - walk to Li'l Saigon,378840884,Suezie,San Jose,37.33164691535575,-121.85058125578064,Private room,57.0,2,35,2025-02-28,1.35,3,52,8,,False,Low,3.2478628910575695,2,Intermediate,1.5833333333333333
Santa Clara County,791446604202156151,Lovely 4 beds House San Jose Cisco Tesla,491377040,Shine,San Jose,37.40550538150815,-121.8686790446346,Entire home/apt,257.0,2,11,2024-11-02,0.42,3,285,5,,False,High,7.631182123452873,2,Intermediate,21.416666666666668
Santa Clara County,791576532497175167,Queen Bed Room Netflix BBQ Grill Fire Pit Pets,224225281,Charles,San Jose,37.39071,-121.83477,Private room,56.0,3,12,2024-10-06,0.47,6,83,5,,False,Low,7.402734112374589,2,Experienced,4.3076923076923075
Santa Clara County,792016872910945030,"#51-Cozy, Quiet, Near I-680",474861965,Echo,San Jose,37.39903,-121.85042,Private room,38.0,2,4,2025-03-01,0.52,36,165,4,,False,Low,7.461895575334064,2,Superhost,7.6
Santa Clara County,792084415807812237,Cozy Private Studio in Downtown San Jose,441104986,Rick,San Jose,37.35020428899486,-121.881259937794,Entire home/apt,72.0,2,58,2024-12-15,2.3,1,8,20,,False,Low,1.4051442156116773,2,Newbie,1.2203389830508475
Santa Clara County,792307828466708425,#B- 9 min Walk to Stanford Lot 4 |Private Room,426122897,Yanhua,Palo Alto,37.43598,-122.14886,Private room,63.0,1,18,2025-02-06,0.69,12,3,4,,False,Low,25.659661676031437,2,Superhost,3.3157894736842106
Santa Clara County,792743492293304277,Willow Glen Charmer,12557935,Rakesh,San Jose,37.28297,-121.89641,Entire home/apt,101.0,4,3,2023-04-20,0.12,1,184,0,,False,Low,6.19479159623348,2,Newbie,25.25
Santa Clara County,793632101984664441,4~King bed~Private bathroom~Sunnyvale,2899101,Christina,Sunnyvale,37.38239,-122.05222,Private room,63.0,14,29,2025-02-06,1.09,71,137,8,2015-8133,False,Low,15.495449856784198,2,Superhost,2.1
Santa Clara County,794076433247409798,Private Yard No Stairs! 1 bed unit @ Mid Palo Alto,503715515,Angela,Palo Alto,37.42322,-122.13177,Entire home/apt,149.0,1,15,2025-02-18,0.62,4,332,4,,False,Mid,23.699701387616066,2,Experienced,9.3125
Santa Clara County,794538030318326637,"Simple n calm work n play, with backyard!",20083924,Manohar,Santa Clara,37.34131,-121.99196,Entire home/apt,229.0,2,43,2025-03-02,2.03,2,77,26,,False,High,9.369321199628088,2,Intermediate,5.204545454545454
Santa Clara County,795154431953699953,* one person only* #1 comfortable room in the yard,136459383,Yoyo,San Jose,37.38191243488148,-121.83976747736554,Private room,39.0,1,43,2025-02-20,1.62,13,321,22,,False,Low,6.366288850751589,2,Superhost,0.8863636363636364
Santa Clara County,795716378257648283,"Private bath, High ceiling Master BR - Li'l Saigon",378840884,Suezie,San Jose,37.33300441324072,-121.85034526407158,Private room,67.0,5,35,2024-11-03,1.32,3,134,3,,False,Low,3.2380269658081535,2,Intermediate,1.8611111111111112
Santa Clara County,795852913913077001,Renovated & Private Guest House,173221692,Michelle,Palo Alto,37.44021085959828,-122.1174386530618,Entire home/apt,240.0,5,11,2024-12-18,0.45,1,228,4,,False,High,23.39118030607478,2,Newbie,20.0
Santa Clara County,797878478904983525,cozy one bedroom house,152184765,Hanan,San Jose,37.27735683906271,-121.81139280057428,Entire home/apt,120.0,3,7,2024-06-30,0.31,4,319,1,,False,Mid,9.470771260422952,2,Experienced,15.0
Santa Clara County,798089414695954714,Campbell condo,492314697,Boris,Campbell,37.28327867697129,-121.93767540419412,Entire home/apt,120.0,31,20,2024-11-24,0.82,1,157,1,,False,Mid,7.608899973610031,2,Newbie,5.714285714285714
Santa Clara County,798572892858552840,Amazing Room in 2BD1BR apt,135944557,Jane,Mountain View,37.3994665,-122.0896276,Private room,99.0,31,2,2023-07-12,0.09,6,94,0,,False,Low,19.251530913280337,2,Experienced,33.0
Santa Clara County,798724049429826758,Renovated house with new floors and bathrooms,263264065,Luis,San Jose,37.34667738720847,-121.84696566720773,Private room,35.0,1,5,2023-03-10,0.19,1,357,0,,False,Low,3.61020446604229,2,Newbie,5.833333333333333
Santa Clara County,798745231717352320,Clean Modern Private Unit With Serene Backyard,5708286,Ankit,San Jose,37.294476308989694,-121.8110782332711,Entire home/apt,93.0,1,111,2025-03-10,4.35,1,226,48,,False,Low,8.246639294889246,2,Newbie,0.8303571428571429
Santa Clara County,800691745963225861,"Wonderful Updated 2 bedrm Apt. Pool, Entire Unit!",414624110,Mark,Santa Clara,37.34743,-121.95011,Entire home/apt,131.0,3,22,2025-01-31,0.87,2,331,10,,False,Mid,5.746278788929806,2,Intermediate,5.695652173913044
Santa Clara County,800762724196544304,# 4BR Movie Theater Families Kids Games,265228108,J And M,Mountain View,37.408888490733496,-122.10120391954916,Entire home/apt,297.0,4,31,2025-03-05,1.24,9,253,20,,False,High,20.588329160046015,2,Experienced,9.28125
Santa Clara County,801757747369237300,The Mission Guest House San Jose,170430034,Angelina,San Jose,37.3583581,-121.8863007,Entire home/apt,115.0,6,54,2025-02-23,2.14,1,228,10,,False,Mid,2.2372302226141905,2,Newbie,2.090909090909091
Santa Clara County,802287037554061412,#D- Private Bath| 9 min Walk to Stanford Lot 4,426122897,Yanhua,Palo Alto,37.43674118393964,-122.14895643854749,Private room,36.0,1,14,2024-12-09,0.58,12,3,3,,False,Low,25.70312665079933,2,Superhost,2.4
Santa Clara County,802370572532429248,#E- 9 min Walk to Stanford Lot 4 |Private Room,426122897,Yanhua,Palo Alto,37.43805069877797,-122.14928237598266,Private room,60.0,1,10,2025-02-26,0.38,12,12,6,,False,Low,25.791180916900764,2,Superhost,5.454545454545454
Santa Clara County,802432216036070098,#5| 10 min Walk to CalTrain | Private Room,426122897,Yanhua,Mountain View,37.39366,-122.08346,Private room,72.0,2,26,2025-02-15,1.0,12,82,13,,False,Low,18.517976735917404,2,Superhost,2.6666666666666665
Santa Clara County,802448950857541293,Modern Renovated  4 bedroom 3 bath Townhouse,3198989,Victor,San Jose,37.3594452,-121.8526918,Entire home/apt,149.0,20,2,2025-01-09,0.12,2,230,1,,False,Mid,3.7982763268314095,2,Intermediate,49.666666666666664
Santa Clara County,802474517583638422,#6| 10 min Walk to CalTrain| Private Room,426122897,Yanhua,Mountain View,37.39518,-122.08176,Private room,77.0,2,28,2025-01-21,1.1,12,36,16,,False,Low,18.43304353919354,2,Superhost,2.6551724137931036
Santa Clara County,802767674352758938,"Blueground | San Jose, gym, pool & laundry",107434423,Blueground,San Jose,37.3350112,-121.892281,Entire home/apt,206.0,31,3,2023-10-20,0.13,372,33,0,,False,Mid,0.6373173608899847,2,Superhost,51.5
Santa Clara County,802770185918004401,"Blueground | Mountain View, gym, roof & w/d",107434423,Blueground,Mountain View,37.39868,-122.10741,Entire home/apt,333.0,31,1,2023-04-01,0.04,372,261,0,,False,High,20.704268940773076,2,Superhost,166.5
Santa Clara County,802839242372098587,1005#9 1bdrm/1bth dwntwn AC hrdw,9473789,Kathy,Palo Alto,37.4443112,-122.1526627,Entire home/apt,125.0,4,9,2024-04-19,0.35,35,311,2,,False,Mid,26.363882951955624,2,Superhost,12.5
Santa Clara County,803094044047727921,#4| 10 min Walk to CalTrain | Private Room,426122897,Yanhua,Mountain View,37.39346274530253,-122.08134857935278,Private room,77.0,2,15,2024-11-16,0.61,12,132,6,,False,Low,18.334366342857702,2,Superhost,4.8125
Santa Clara County,804463910326977393,private room in 2BR/1BA house,3078451,Mark,San Jose,37.34747729457207,-121.87934605587908,Private room,51.0,3,13,2024-09-13,0.55,1,89,5,,False,Low,1.1999311091761538,2,Newbie,3.642857142857143
Santa Clara County,805336220992250049,Spaceous 1. 5BR Duplex in Downtown SJ,41188361,Eda Mae,San Jose,37.3449049,-121.8999504,Entire home/apt,132.0,30,1,2023-08-12,0.05,16,210,0,,False,Mid,1.4201564495735293,2,Superhost,66.0
Santa Clara County,806035107468559058,Fun house + game room and dance floor,127256805,Behnam,San Jose,37.29776602385205,-121.8856898252143,Private room,100.0,1,14,2024-06-01,0.99,1,133,6,,False,Low,4.487834619344304,2,Newbie,6.666666666666667
Santa Clara County,806422863445539950,The Thompson - San Pedro Square Unit w/ Pool & Gym,496563092,Nicolas Joseph,San Jose,37.33498,-121.89597,Entire home/apt,198.0,31,6,2024-07-31,0.24,2,182,3,,False,Mid,0.9284653520734755,2,Intermediate,28.285714285714285
Santa Clara County,806822174083889925,Entire Private Studio Apt + Kitchen & Backyard,27233239,P.T.,San Jose,37.34951,-121.7976,Entire home/apt,72.0,2,103,2025-02-14,4.1,2,53,23,,False,Low,7.9592423340341725,2,Intermediate,0.6923076923076923
Santa Clara County,806947727255506039,"Blueground | Milpitas, gym, pool, nr highways",107434423,Blueground,Milpitas,37.4177196,-121.9282892,Entire home/apt,208.0,31,2,2024-02-07,0.11,372,291,0,,False,Mid,9.577021923625164,2,Superhost,69.33333333333333
Santa Clara County,808764247820765337,Historic Downtown PA House W/Sauna,513631915,Dylan,Palo Alto,37.4418395,-122.1558212,Entire home/apt,318.0,2,63,2025-03-01,2.53,1,64,31,,False,High,26.49452401588366,2,Newbie,4.96875
Santa Clara County,809104955135821766,A cozy & comfort home.,104810848,Bhavika,Mountain View,37.41711298507279,-122.08936997820604,Private room,83.0,1,2,2024-11-07,0.35,1,87,2,,False,Low,20.004849789742973,2,Newbie,27.666666666666668
Santa Clara County,809498279062142401,#7| 10 min Walk to CalTrain| Private Room,426122897,Yanhua,Mountain View,37.39410395276594,-122.08125002882444,Private room,77.0,2,15,2025-01-18,0.58,12,43,4,,False,Low,18.350009933922763,2,Superhost,4.8125
